"first_name","last_name","name","sum"
"Bjørn                                             ","Hansen                                            ","Jamiroquai","9.9"
"Ellie                                             ","Sullivan                                          ","Led Zeppelin","25.740000000000002"
"Mark                                              ","Taylor                                            ","Queen","6.93"
"Emma                                              ","Jones                                             ","Audioslave","6.93"
"Heather                                           ","Leacock                                           ","House Of Pain","357.39"
"Julia                                             ","Barnett                                           ","Cake","8.91"
"Joakim                                            ","Johansson                                         ","Iron Maiden","88.10999999999999"
"Steve                                             ","Murray                                            ","Men At Work","4.95"
"João                                              ","Fernandes                                         ","The Clash","19.8"
"Ellie                                             ","Sullivan                                          ","Santana","2.9699999999999998"
"Niklas                                            ","Schröder                                          ","Miles Davis","10.89"
"Leonie                                            ","Köhler                                            ","U2","9.9"
"Kara                                              ","Nielsen                                           ","AC/DC","10.89"
"Isabelle                                          ","Mercier                                           ","Nirvana","9.9"
"Roberto                                           ","Almeida                                           ","Frank Sinatra","21.78"
"Martha                                            ","Silk                                              ","Scorpions","1.98"
"Marc                                              ","Dubois                                            ","Jimi Hendrix","9.9"
"Madalena                                          ","Sampaio                                           ","UB40","9.9"
"Manoj                                             ","Pareek                                            ","Alice In Chains","24.75"
"João                                              ","Fernandes                                         ","Spyro Gyra","5.9399999999999995"
"Luis                                              ","Rojas                                             ","U2","5.9399999999999995"
"François                                          ","Tremblay                                          ","Jimi Hendrix","286.10999999999984"
"Luis                                              ","Rojas                                             ","Jamiroquai","9.9"
"Marc                                              ","Dubois                                            ","Nirvana","9.9"
"Manoj                                             ","Pareek                                            ","Marisa Monte","10.89"
"Kathy                                             ","Chase                                             ","Raimundos","6.93"
"Mark                                              ","Philips                                           ","Marvin Gaye","4.95"
"Jack                                              ","Smith                                             ","UB40","3.96"
"Patrick                                           ","Gray                                              ","Alice In Chains","10.89"
"Isabelle                                          ","Mercier                                           ","Chico Buarque","7.92"
"Stanisław                                         ","Wójcik                                            ","Kiss","6.93"
"Madalena                                          ","Sampaio                                           ","System Of A Down","27.720000000000002"
"Steve                                             ","Murray                                            ","Jimi Hendrix","21.779999999999998"
"Richard                                           ","Cunningham                                        ","R.E.M.","15.84"
"Isabelle                                          ","Mercier                                           ","The Police","8.91"
"Fynn                                              ","Zimmermann                                        ","Alanis Morissette","4.95"
"Terhi                                             ","Hämäläinen                                        ","R.E.M.","7.92"
"Camille                                           ","Bernard                                           ","Lenny Kravitz","7.92"
"Emma                                              ","Jones                                             ","Olodum","9.9"
"Patrick                                           ","Gray                                              ","Amy Winehouse","8.91"
"Stanisław                                         ","Wójcik                                            ","Green Day","8.91"
"Edward                                            ","Francis                                           ","Nirvana","11.879999999999999"
"Fynn                                              ","Zimmermann                                        ","Creedence Clearwater Revival","9.9"
"Leonie                                            ","Köhler                                            ","Eric Clapton","21.78"
"Heather                                           ","Leacock                                           ","The Doors","17.82"
"Kathy                                             ","Chase                                             ","Motörhead","5.9399999999999995"
"Joakim                                            ","Johansson                                         ","The Police","14.85"
"Fernanda                                          ","Ramos                                             ","Itzhak Perlman","19.8"
"Frank                                             ","Harris                                            ","Queen","17.82"
"Patrick                                           ","Gray                                              ","R.E.M.","3.96"
"Madalena                                          ","Sampaio                                           ","Marvin Gaye","9.9"
"Frank                                             ","Ralston                                           ","Apocalyptica","9.9"
"R                                                 ","Madhav                                            ","James Brown","10.89"
"Alexandre                                         ","Rocha                                             ","Aerosmith","7.92"
"Manoj                                             ","Pareek                                            ","The Doors","5.9399999999999995"
"Michelle                                          ","Brooks                                            ","Pearl Jam","33.66"
"Kathy                                             ","Chase                                             ","The Clash","10.89"
"Daan                                              ","Peeters                                           ","R.E.M.","21.78"
"Luis                                              ","Rojas                                             ","Van Halen","3.96"
"Steve                                             ","Murray                                            ","Miles Davis","18.810000000000002"
"Kathy                                             ","Chase                                             ","Titãs","8.91"
"Victor                                            ","Stevens                                           ","Aerosmith","5.9399999999999995"
"Helena                                            ","Holý                                              ","Van Halen","150.47999999999996"
"Dan                                               ","Miller                                            ","The Doors","8.91"
"John                                              ","Gordon                                            ","U2","7.92"
"Wyatt                                             ","Girard                                            ","The Police","13.86"
"Camille                                           ","Bernard                                           ","Van Halen","10.89"
"Richard                                           ","Cunningham                                        ","Lulu Santos","1.98"
"Luís                                              ","Gonçalves                                         ","Calexico","10.89"
"Niklas                                            ","Schröder                                          ","Cake","10.89"
"Manoj                                             ","Pareek                                            ","Jimi Hendrix","259.38000000000005"
"Madalena                                          ","Sampaio                                           ","Foo Fighters","10.89"
"Phil                                              ","Hughes                                            ","Academy of St. Martin in the Fields & Sir Neville Marriner","5.9399999999999995"
"Hannah                                            ","Schneider                                         ","Miles Davis","194.04000000000002"
"François                                          ","Tremblay                                          ","Buddy Guy","9.9"
"Jack                                              ","Smith                                             ","Amy Winehouse","53.46"
"Eduardo                                           ","Martins                                           ","Guns N' Roses","20.79"
"Helena                                            ","Holý                                              ","Amy Winehouse","18.810000000000002"
"Lucas                                             ","Mancini                                           ","Metallica","5.9399999999999995"
"Bjørn                                             ","Hansen                                            ","Black Sabbath","15.84"
"Leonie                                            ","Köhler                                            ","Led Zeppelin","2.9699999999999998"
"Phil                                              ","Hughes                                            ","Alanis Morissette","9.9"
"Ellie                                             ","Sullivan                                          ","Van Halen","7.92"
"Puja                                              ","Srivastava                                        ","Amy Winehouse","9.9"
"Daan                                              ","Peeters                                           ","Incognito","9.9"
"Julia                                             ","Barnett                                           ","Maurizio Pollini","3.96"
"Leonie                                            ","Köhler                                            ","Buddy Guy","7.92"
"Kathy                                             ","Chase                                             ","AC/DC","93.06000000000002"
"Wyatt                                             ","Girard                                            ","Eric Clapton","19.799999999999997"
"Niklas                                            ","Schröder                                          ","Deep Purple","5.9399999999999995"
"Joakim                                            ","Johansson                                         ","Funk Como Le Gusta","7.92"
"Manoj                                             ","Pareek                                            ","The Who","3.96"
"Johannes                                          ","Van der Berg                                      ","The Who","8.91"
"Ellie                                             ","Sullivan                                          ","Planet Hemp","3.96"
"Jack                                              ","Smith                                             ","Foo Fighters","114.84000000000003"
"Frank                                             ","Ralston                                           ","Jimi Hendrix","19.8"
"Leonie                                            ","Köhler                                            ","Deep Purple","10.89"
"Jennifer                                          ","Peterson                                          ","Queen","13.86"
"Isabelle                                          ","Mercier                                           ","UB40","7.92"
"John                                              ","Gordon                                            ","Marvin Gaye","10.89"
"Madalena                                          ","Sampaio                                           ","Pearl Jam","10.89"
"Puja                                              ","Srivastava                                        ","Alanis Morissette","17.82"
"Richard                                           ","Cunningham                                        ","AC/DC","5.9399999999999995"
"John                                              ","Gordon                                            ","Velvet Revolver","10.89"
"Hannah                                            ","Schneider                                         ","Eric Clapton","8.91"
"Lucas                                             ","Mancini                                           ","Ed Motta","5.9399999999999995"
"Terhi                                             ","Hämäläinen                                        ","UB40","6.93"
"Camille                                           ","Bernard                                           ","Aerosmith","7.92"
"Wyatt                                             ","Girard                                            ","Marvin Gaye","9.9"
"Aaron                                             ","Mitchell                                          ","Guns N' Roses","10.89"
"Manoj                                             ","Pareek                                            ","Miles Davis","18.810000000000002"
"Ladislav                                          ","Kovács                                            ","Jamiroquai","9.9"
"Enrique                                           ","Muñoz                                             ","Metallica","19.8"
"Madalena                                          ","Sampaio                                           ","Frank Sinatra","9.9"
"Madalena                                          ","Sampaio                                           ","Os Paralamas Do Sucesso","6.93"
"R                                                 ","Madhav                                            ","Creedence Clearwater Revival","10.89"
"Martha                                            ","Silk                                              ","Green Day","5.9399999999999995"
"Michelle                                          ","Brooks                                            ","Frank Sinatra","15.84"
"Puja                                              ","Srivastava                                        ","System Of A Down","4.95"
"Luís                                              ","Gonçalves                                         ","Marisa Monte","14.85"
"Edward                                            ","Francis                                           ","Antônio Carlos Jobim","13.86"
"Martha                                            ","Silk                                              ","Faith No More","8.91"
"Steve                                             ","Murray                                            ","Van Halen","8.91"
"Astrid                                            ","Gruber                                            ","The Police","5.9399999999999995"
"Julia                                             ","Barnett                                           ","Motörhead","8.91"
"Tim                                               ","Goyer                                             ","UB40","7.92"
"R                                                 ","Madhav                                            ","R.E.M.","128.7"
"Puja                                              ","Srivastava                                        ","Led Zeppelin","8.91"
"Richard                                           ","Cunningham                                        ","Nirvana","9.9"
"Fernanda                                          ","Ramos                                             ","Cake","10.89"
"Isabelle                                          ","Mercier                                           ","Emerson String Quartet","3.96"
"Lucas                                             ","Mancini                                           ","System Of A Down","8.91"
"Johannes                                          ","Van der Berg                                      ","Van Halen","10.89"
"Hannah                                            ","Schneider                                         ","The Clash","18.810000000000002"
"Joakim                                            ","Johansson                                         ","Jimi Hendrix","14.850000000000001"
"Manoj                                             ","Pareek                                            ","Black Sabbath","10.89"
"Ladislav                                          ","Kovács                                            ","Metallica","8.91"
"Camille                                           ","Bernard                                           ","UB40","7.92"
"Jack                                              ","Smith                                             ","Judas Priest","5.9399999999999995"
"Lucas                                             ","Mancini                                           ","Queen","119.79"
"Wyatt                                             ","Girard                                            ","Black Sabbath","16.83"
"Stanisław                                         ","Wójcik                                            ","Alice In Chains","17.82"
"Camille                                           ","Bernard                                           ","Marisa Monte","320.75999999999993"
"Madalena                                          ","Sampaio                                           ","Jamiroquai","7.92"
"Aaron                                             ","Mitchell                                          ","Mötley Crüe","10.89"
"Steve                                             ","Murray                                            ","Jamiroquai","8.91"
"Ellie                                             ","Sullivan                                          ","Motörhead","9.9"
"Joakim                                            ","Johansson                                         ","Lenny Kravitz","4.95"
"Leonie                                            ","Köhler                                            ","The Rolling Stones","18.810000000000002"
"Frank                                             ","Ralston                                           ","U2","29.700000000000003"
"Aaron                                             ","Mitchell                                          ","Pearl Jam","10.89"
"Johannes                                          ","Van der Berg                                      ","Stone Temple Pilots","8.91"
"Tim                                               ","Goyer                                             ","U2","0.99"
"Terhi                                             ","Hämäläinen                                        ","Foo Fighters","2.9699999999999998"
"Wyatt                                             ","Girard                                            ","System Of A Down","8.91"
"Steve                                             ","Murray                                            ","Cidade Negra","9.9"
"François                                          ","Tremblay                                          ","Nirvana","8.91"
"Manoj                                             ","Pareek                                            ","Creedence Clearwater Revival","7.92"
"Puja                                              ","Srivastava                                        ","The Rolling Stones","8.91"
"Bjørn                                             ","Hansen                                            ","Green Day","22.77"
"Astrid                                            ","Gruber                                            ","Temple of the Dog","8.91"
"Stanisław                                         ","Wójcik                                            ","AC/DC","89.09999999999998"
"Manoj                                             ","Pareek                                            ","U2","9.9"
"Astrid                                            ","Gruber                                            ","Deep Purple","13.86"
"Fynn                                              ","Zimmermann                                        ","The Who","9.9"
"Wyatt                                             ","Girard                                            ","AC/DC","22.769999999999996"
"Hannah                                            ","Schneider                                         ","Creedence Clearwater Revival","7.92"
"Johannes                                          ","Van der Berg                                      ","Rush","6.93"
"Diego                                             ","Gutiérrez                                         ","Guns N' Roses","8.91"
"Helena                                            ","Holý                                              ","The Posies","7.92"
"Helena                                            ","Holý                                              ","Chico Science & Nação Zumbi","7.92"
"João                                              ","Fernandes                                         ","Jimi Hendrix","286.10999999999984"
"Jack                                              ","Smith                                             ","R.E.M.","10.89"
"Helena                                            ","Holý                                              ","Lulu Santos","10.89"
"R                                                 ","Madhav                                            ","Nirvana","38.61"
"Camille                                           ","Bernard                                           ","Led Zeppelin","7.92"
"John                                              ","Gordon                                            ","JET","7.92"
"Patrick                                           ","Gray                                              ","Cake","10.89"
"Helena                                            ","Holý                                              ","Accept","21.78"
"Madalena                                          ","Sampaio                                           ","Men At Work","11.879999999999999"
"Jack                                              ","Smith                                             ","Ozzy Osbourne","6.93"
"Manoj                                             ","Pareek                                            ","Faith No More","21.78"
"Luís                                              ","Gonçalves                                         ","Metallica","10.89"
"Hannah                                            ","Schneider                                         ","The Posies","6.93"
"Alexandre                                         ","Rocha                                             ","Black Sabbath","7.92"
"Ellie                                             ","Sullivan                                          ","Titãs","7.92"
"Julia                                             ","Barnett                                           ","R.E.M.","28.71"
"John                                              ","Gordon                                            ","Eric Clapton","17.82"
"Helena                                            ","Holý                                              ","The Rolling Stones","10.89"
"Steve                                             ","Murray                                            ","Accept","7.92"
"Niklas                                            ","Schröder                                          ","James Brown","10.89"
"Johannes                                          ","Van der Berg                                      ","Audioslave","8.91"
"Madalena                                          ","Sampaio                                           ","Lenny Kravitz","10.89"
"Terhi                                             ","Hämäläinen                                        ","Gilberto Gil","6.93"
"Emma                                              ","Jones                                             ","Lulu Santos","8.91"
"Roberto                                           ","Almeida                                           ","R.E.M.","119.79"
"Richard                                           ","Cunningham                                        ","Frank Sinatra","4.95"
"Frank                                             ","Ralston                                           ","Queen","19.8"
"Joakim                                            ","Johansson                                         ","Led Zeppelin","6.93"
"Aaron                                             ","Mitchell                                          ","JET","1.98"
"Hugh                                              ","O'Reilly                                          ","Mötley Crüe","10.89"
"Isabelle                                          ","Mercier                                           ","Iron Maiden","9.9"
"Ellie                                             ","Sullivan                                          ","Caetano Veloso","7.92"
"Puja                                              ","Srivastava                                        ","The Doors","4.95"
"Daan                                              ","Peeters                                           ","Queen","19.8"
"Mark                                              ","Philips                                           ","The Who","1.98"
"Johannes                                          ","Van der Berg                                      ","Buddy Guy","13.86"
"Frank                                             ","Ralston                                           ","Amy Winehouse","7.92"
"Daan                                              ","Peeters                                           ","Kiss","5.9399999999999995"
"Steve                                             ","Murray                                            ","Gustav Mahler","8.91"
"Manoj                                             ","Pareek                                            ","Cake","4.95"
"Niklas                                            ","Schröder                                          ","The Who","10.89"
"Bjørn                                             ","Hansen                                            ","Foo Fighters","6.93"
"Isabelle                                          ","Mercier                                           ","Motörhead","6.93"
"Roberto                                           ","Almeida                                           ","Red Hot Chili Peppers","7.92"
"Michelle                                          ","Brooks                                            ","Pink Floyd","15.84"
"Phil                                              ","Hughes                                            ","Motörhead","222.74999999999994"
"Madalena                                          ","Sampaio                                           ","Miles Davis","9.899999999999999"
"Dominique                                         ","Lefebvre                                          ","Metallica","12.870000000000001"
"Luis                                              ","Rojas                                             ","Black Sabbath","4.95"
"R                                                 ","Madhav                                            ","Aerosmith","8.91"
"Hannah                                            ","Schneider                                         ","Audioslave","18.810000000000002"
"Frank                                             ","Harris                                            ","Motörhead","6.93"
"Heather                                           ","Leacock                                           ","Green Day","178.20000000000002"
"Patrick                                           ","Gray                                              ","Queen","9.9"
"Manoj                                             ","Pareek                                            ","Stone Temple Pilots","11.879999999999999"
"Terhi                                             ","Hämäläinen                                        ","System Of A Down","21.78"
"Victor                                            ","Stevens                                           ","U2","9.9"
"Helena                                            ","Holý                                              ","Motörhead","10.89"
"Fernanda                                          ","Ramos                                             ","Jimi Hendrix","4.95"
"Michelle                                          ","Brooks                                            ","U2","8.91"
"Ladislav                                          ","Kovács                                            ","Iron Maiden","10.89"
"Dan                                               ","Miller                                            ","Van Halen","30.689999999999998"
"Leonie                                            ","Köhler                                            ","AC/DC","10.89"
"Helena                                            ","Holý                                              ","Chris Cornell","16.83"
"Helena                                            ","Holý                                              ","Jamiroquai","21.78"
"Jack                                              ","Smith                                             ","The Doors","19.8"
"Julia                                             ","Barnett                                           ","Velvet Revolver","0.99"
"Julia                                             ","Barnett                                           ","Aerosmith","8.91"
"Frank                                             ","Ralston                                           ","Green Day","9.9"
"Jack                                              ","Smith                                             ","Red Hot Chili Peppers","27.72"
"Michelle                                          ","Brooks                                            ","JET","6.93"
"Ladislav                                          ","Kovács                                            ","Soundgarden","10.89"
"Diego                                             ","Gutiérrez                                         ","Nirvana","25.740000000000002"
"Enrique                                           ","Muñoz                                             ","Calexico","9.9"
"Johannes                                          ","Van der Berg                                      ","Scholars Baroque Ensemble","7.92"
"Kathy                                             ","Chase                                             ","Scorpions","19.8"
"Luis                                              ","Rojas                                             ","The Rolling Stones","10.89"
"R                                                 ","Madhav                                            ","Jota Quest","142.55999999999997"
"Robert                                            ","Brown                                             ","Ozzy Osbourne","4.95"
"Puja                                              ","Srivastava                                        ","Ed Motta","8.91"
"Frank                                             ","Harris                                            ","Mötley Crüe","3.96"
"Emma                                              ","Jones                                             ","U2","8.91"
"Mark                                              ","Philips                                           ","Judas Priest","8.91"
"Madalena                                          ","Sampaio                                           ","The Police","14.85"
"Tim                                               ","Goyer                                             ","The Doors","8.91"
"Manoj                                             ","Pareek                                            ","O Rappa","286.10999999999984"
"Frank                                             ","Harris                                            ","R.E.M.","126.72"
"Eduardo                                           ","Martins                                           ","The Police","23.759999999999998"
"Patrick                                           ","Gray                                              ","Red Hot Chili Peppers","3.96"
"Astrid                                            ","Gruber                                            ","Foo Fighters","12.87"
"Leonie                                            ","Köhler                                            ","Ozzy Osbourne","21.78"
"Aaron                                             ","Mitchell                                          ","Jota Quest","6.93"
"Leonie                                            ","Köhler                                            ","The Doors","25.740000000000002"
"Julia                                             ","Barnett                                           ","Green Day","9.9"
"Helena                                            ","Holý                                              ","Alice In Chains","10.89"
"Martha                                            ","Silk                                              ","Aerosmith","1.98"
"Heather                                           ","Leacock                                           ","Marisa Monte","6.93"
"Kara                                              ","Nielsen                                           ","Marillion","5.9399999999999995"
"Diego                                             ","Gutiérrez                                         ","Red Hot Chili Peppers","9.9"
"R                                                 ","Madhav                                            ","The Police","19.8"
"Ladislav                                          ","Kovács                                            ","Joe Satriani","6.93"
"Johannes                                          ","Van der Berg                                      ","The Doors","10.89"
"Martha                                            ","Silk                                              ","Guns N' Roses","198.99"
"Enrique                                           ","Muñoz                                             ","Yo-Yo Ma","9.9"
"Ladislav                                          ","Kovács                                            ","Audioslave","13.86"
"Astrid                                            ","Gruber                                            ","Miles Davis","202.95000000000005"
"João                                              ","Fernandes                                         ","Foo Fighters","7.92"
"Marc                                              ","Dubois                                            ","Faith No More","10.89"
"Wyatt                                             ","Girard                                            ","Motörhead","18.810000000000002"
"Bjørn                                             ","Hansen                                            ","System Of A Down","28.71"
"Hannah                                            ","Schneider                                         ","The Cult","8.91"
"François                                          ","Tremblay                                          ","Legião Urbana","2.9699999999999998"
"Jennifer                                          ","Peterson                                          ","Aerosmith","222.74999999999994"
"Terhi                                             ","Hämäläinen                                        ","Pearl Jam","22.770000000000003"
"Emma                                              ","Jones                                             ","The Clash","19.8"
"Patrick                                           ","Gray                                              ","Nirvana","286.10999999999984"
"Heather                                           ","Leacock                                           ","The Clash","2.9699999999999998"
"Enrique                                           ","Muñoz                                             ","Aerosmith","9.9"
"Enrique                                           ","Muñoz                                             ","Miles Davis","194.04000000000002"
"Edward                                            ","Francis                                           ","Green Day","9.9"
"Helena                                            ","Holý                                              ","Skank","10.89"
"Jack                                              ","Smith                                             ","Audioslave","21.78"
"Marc                                              ","Dubois                                            ","System Of A Down","1.98"
"Fynn                                              ","Zimmermann                                        ","Kiss","227.69999999999993"
"Patrick                                           ","Gray                                              ","Marillion","1.98"
"Frank                                             ","Ralston                                           ","Metallica","7.92"
"Wyatt                                             ","Girard                                            ","Men At Work","9.9"
"John                                              ","Gordon                                            ","The Police","9.9"
"Wyatt                                             ","Girard                                            ","Alice In Chains","24.75"
"Frank                                             ","Harris                                            ","Passengers","10.89"
"Fynn                                              ","Zimmermann                                        ","Audioslave","9.9"
"Stanisław                                         ","Wójcik                                            ","Spyro Gyra","13.86"
"Luís                                              ","Gonçalves                                         ","Nirvana","10.89"
"Isabelle                                          ","Mercier                                           ","Pink Floyd","9.9"
"Fynn                                              ","Zimmermann                                        ","Jimi Hendrix","286.10999999999984"
"Julia                                             ","Barnett                                           ","Nirvana","9.9"
"Frank                                             ","Harris                                            ","Os Mutantes","6.93"
"Alexandre                                         ","Rocha                                             ","U2","10.89"
"Phil                                              ","Hughes                                            ","The Doors","4.95"
"Stanisław                                         ","Wójcik                                            ","Gustav Mahler","10.89"
"Niklas                                            ","Schröder                                          ","Eric Clapton","14.85"
"Heather                                           ","Leacock                                           ","Deep Purple","16.83"
"Niklas                                            ","Schröder                                          ","Motörhead","8.91"
"Dan                                               ","Miller                                            ","JET","10.89"
"Enrique                                           ","Muñoz                                             ","Black Sabbath","18.810000000000002"
"John                                              ","Gordon                                            ","R.E.M.","25.740000000000002"
"Heather                                           ","Leacock                                           ","Amy Winehouse","121.77000000000001"
"Robert                                            ","Brown                                             ","AC/DC","5.9399999999999995"
"Helena                                            ","Holý                                              ","Queen","10.89"
"Johannes                                          ","Van der Berg                                      ","Jimi Hendrix","12.870000000000001"
"Luis                                              ","Rojas                                             ","Green Day","32.67"
"Joakim                                            ","Johansson                                         ","Cake","4.95"
"Marc                                              ","Dubois                                            ","Kiss","4.95"
"Terhi                                             ","Hämäläinen                                        ","Zeca Pagodinho","10.89"
"Hugh                                              ","O'Reilly                                          ","House Of Pain","3.96"
"Camille                                           ","Bernard                                           ","The Doors","2.9699999999999998"
"Luís                                              ","Gonçalves                                         ","Alanis Morissette","14.850000000000001"
"Johannes                                          ","Van der Berg                                      ","Green Day","10.89"
"Ladislav                                          ","Kovács                                            ","Queen","9.9"
"Eduardo                                           ","Martins                                           ","Black Label Society","9.9"
"Johannes                                          ","Van der Berg                                      ","Iron Maiden","8.91"
"Robert                                            ","Brown                                             ","Creedence Clearwater Revival","396.0000000000001"
"Dominique                                         ","Lefebvre                                          ","Ozzy Osbourne","3.96"
"Leonie                                            ","Köhler                                            ","Itzhak Perlman","7.92"
"Daan                                              ","Peeters                                           ","Metallica","5.9399999999999995"
"Hannah                                            ","Schneider                                         ","Green Day","29.7"
"Stanisław                                         ","Wójcik                                            ","The Black Crowes","10.89"
"Dan                                               ","Miller                                            ","Jamiroquai","21.78"
"Enrique                                           ","Muñoz                                             ","JET","9.9"
"Marc                                              ","Dubois                                            ","Pink Floyd","18.810000000000002"
"Mark                                              ","Philips                                           ","Deep Purple","4.95"
"Frank                                             ","Harris                                            ","The Who","10.89"
"Isabelle                                          ","Mercier                                           ","Aerosmith","26.73"
